,0
mean_radius,3.260011053119242
mean_texture,3.687183007394765
mean_perimeter,22.34137600046611
mean_area,304.28397002143953
mean_smoothness,0.013620498865220541
mean_compactness,0.060364863494418615
mean_concavity,0.07673954078766337
mean_concave_points,0.0360535338840331
mean_symmetry,0.031079162298758095
mean_fractal_dimension,0.008318159057358764
radius error,0.24950858791860167
texture error,0.4989949985932905
perimeter error,1.9889804469693766
area error,34.17412025448364
smoothness error,0.0020845388197626136
compactness error,0.020281656051320315
concavity error,0.03756645482777593
concave points error,0.006146571896082077
symmetry error,0.009762692567360879
fractal dimension error,0.002206347070533594
worst radius,4.76538153919271
worst texture,5.727213105742804
worst perimeter,33.49532904891723
worst area,548.0031330553771
worst smoothness,0.02493171456143931
worst compactness,0.21823927147821404
worst concavity,0.2517533397537533
worst concave points,0.06996316485791518
worst symmetry,0.0814521310347588
worst fractal dimension,0.0259981657057207
target,0.45501575519328996
